platform,client,n,fast,avg,slow
"[""Azure"",""Cloudflare""]",mobile,3136,0.78635204081632648,0.20025510204081631,0.088966836734693883
"[""HubSpot"",""Vercel""]",mobile,365,0.77808219178082194,0.42465753424657532,0.084931506849315067
"[""GitHub Pages""]",mobile,8113,0.76506840872673487,0.32035005546653517,0.024405275483791445
"[""Seravo""]",mobile,1746,0.74856815578465064,0.23997709049255442,0.051546391752577317
"[""Netlify""]",desktop,12670,0.74704025256511442,0.29194948697711126,0.047829518547750589
"[""Acquia"",""Akamai""]",desktop,620,0.74677419354838714,0.3935483870967742,0.09838709677419355
"[""AWS CloudFront"",""OpenNext""]",desktop,1610,0.73913043478260865,0.25838509316770186,0.063354037267080748
"[""Framer""]",mobile,7663,0.73574318152159723,0.31123580843011878,0.021662534255513507
"[""Cloudflare"",""GitHub Pages""]",mobile,1674,0.72759856630824371,0.42353643966547194,0.039426523297491037
"[""Cloudflare"",""Web1""]",desktop,1441,0.72588480222068008,0.24496877168632894,0.0784177654406662
"[""Wix""]",mobile,149168,0.72557787192963641,0.23238228038185132,0.058397243376595513
"[""Vercel""]",mobile,107291,0.723751293211919,0.31080892153116291,0.041382781407573795
"[""AWS CloudFront""]",desktop,151290,0.722684909775927,0.30714521779364135,0.071055588604666528
"[""AWS CloudFront"",""Azure""]",desktop,153,0.71241830065359479,0.36601307189542481,0.0718954248366013
"[""Akamai"",""Cloudflare"",""Web1""]",desktop,118,0.711864406779661,0.30508474576271188,0.025423728813559324
"[""Zone.eu""]",desktop,3248,0.71089901477832518,0.24938423645320196,0.05018472906403941
"[""Acquia"",""Cloudflare""]",desktop,3377,0.70950547823511989,0.34024281907018061,0.068403908794788276
"[""Acquia""]",desktop,2992,0.70788770053475936,0.32553475935828879,0.10628342245989304
"[""Cloudflare"",""Fly.io""]",desktop,436,0.70642201834862384,0.3577981651376147,0.08027522935779817
"[""Pantheon""]",desktop,11974,0.70594621680307335,0.28219475530315685,0.073242024386170029
"[""Cloudflare"",""Squarespace""]",mobile,105,0.70476190476190481,0.30476190476190479,0.085714285714285715
"[""Wix""]",desktop,39493,0.70442863292229008,0.19236320360570228,0.11277947990783177
"[""Cloudflare"",""HubSpot""]",mobile,6705,0.70305741983594328,0.35674869500372858,0.11588366890380314
"[""AlwaysData""]",desktop,667,0.69865067466266861,0.28785607196401797,0.058470764617691157
"[""Fly.io""]",desktop,724,0.6933701657458563,0.30939226519337015,0.073204419889502756
"[""Cloudflare"",""Web1""]",mobile,1693,0.681039574719433,0.30124040165386889,0.10100413467217956
"[""Cloudflare"",""HubSpot"",""WP Engine""]",desktop,247,0.67611336032388669,0.43724696356275305,0.060728744939271252
"[""000webhost""]",desktop,192,0.671875,0.24479166666666666,0.11979166666666667
"[""Cloudflare"",""Netlify""]",desktop,2102,0.66698382492863939,0.40960989533777353,0.076117982873453852
"[""Cloudflare"",""Vercel""]",desktop,8678,0.66167319658907586,0.42210186678958284,0.10428670200507029
"[""AWS CloudFront"",""Cloudflare""]",desktop,8512,0.653312969924812,0.40613251879699247,0.099741541353383464
"[""Web1""]",desktop,2261,0.65280849181777978,0.29677134011499334,0.10570544007076514
"[""Automattic""]",desktop,18947,0.63477067609647964,0.26621628753892435,0.1428722225154378
"[""AWS CloudFront"",""Vercel""]",mobile,343,0.63265306122448983,0.56851311953352768,0.20116618075801748
"[""Azure""]",desktop,18997,0.62515133968521341,0.37590145812496711,0.11491288098120755
"[""AWS CloudFront"",""Acquia""]",desktop,320,0.625,0.396875,0.059375
"[""AlwaysData""]",mobile,1414,0.6223479490806223,0.35855728429985856,0.081329561527581334
"[""Zone.eu""]",mobile,4175,0.61796407185628743,0.34227544910179641,0.072814371257485036
"[""Acquia"",""Cloudflare""]",mobile,2932,0.616643929058663,0.44747612551159616,0.14392905866302866
"[""Akamai"",""Cloudflare"",""Web1""]",mobile,159,0.61635220125786161,0.42138364779874216,0.0880503144654088
"[""Pantheon""]",mobile,10097,0.61473705060909178,0.39140338714469647,0.13281172625532336
"[""Cloudflare"",""Weebly""]",mobile,17092,0.61350339340042126,0.39070910367423356,0.010823777205710273
"[""AWS CloudFront""]",mobile,241514,0.605853076840266,0.40264746557135406,0.1010086371804533
"[""AWS CloudFront"",""Acquia""]",mobile,315,0.60317460317460314,0.4,0.082539682539682538
"[""WP Engine""]",desktop,9879,0.59823868812632852,0.37210243951816985,0.0656949083915376
"[""AWS CloudFront"",""Netlify""]",mobile,120,0.59166666666666667,0.71666666666666667,0.25833333333333336
"[""Web1""]",mobile,3149,0.58971101937122894,0.37154652270562083,0.14861860908224833
"[""AWS CloudFront"",""Cloudflare""]",mobile,14806,0.5896933675536945,0.43428339862218018,0.12461164392813724
"[""Automattic""]",mobile,45888,0.58732130404463045,0.37654724546722457,0.09832635983263599
"[""Cloudflare"",""WP Engine""]",desktop,53880,0.58730512249443212,0.38015961395694137,0.079083147735708986
"[""Akamai"",""Cloudflare""]",desktop,2672,0.58495508982035926,0.43488023952095806,0.14633233532934131
"[""Cloudflare""]",desktop,774889,0.5834254970711934,0.37593642444272662,0.12546700237066213
"[""Acquia""]",mobile,3049,0.579862249918006,0.46408658576582484,0.18858642177763202
"[""000webhost"",""Cloudflare""]",desktop,298,0.56375838926174493,0.38590604026845637,0.097315436241610737
"[""Akamai""]",desktop,27558,0.5636475796501923,0.48817040423833369,0.14369693011103854
"[""Automattic"",""Cloudflare""]",desktop,1592,0.56344221105527637,0.37625628140703515,0.17462311557788945
"[""HubSpot""]",desktop,5651,0.56202442045655632,0.34507166873119804,0.18085294638117147
"[""Cloudflare"",""Fly.io""]",mobile,554,0.555956678700361,0.48916967509025272,0.13718411552346571
"[""Cloudflare"",""Pantheon""]",desktop,1843,0.550732501356484,0.3977211068909387,0.1519262072707542
"[""Acquia"",""Akamai""]",mobile,468,0.54487179487179482,0.594017094017094,0.25427350427350426
"[""Cloudflare"",""WP-Cloud""]",mobile,333,0.54054054054054057,0.33633633633633636,0.13513513513513514
"[""AWS CloudFront"",""Akamai""]",desktop,1329,0.53724604966139955,0.57562076749435664,0.13920240782543267
"[""Fly.io""]",mobile,1098,0.53551912568306015,0.41894353369763204,0.12750455373406194
"[""Akamai"",""HubSpot""]",desktop,408,0.53186274509803921,0.53431372549019607,0.12254901960784313
"[""Cloudflare"",""Pantheon""]",mobile,1734,0.52825836216839672,0.47750865051903113,0.19607843137254902
"[""Azure"",""HubSpot""]",desktop,242,0.52479338842975209,0.48760330578512395,0.19834710743801653
"[""Akamai"",""Vercel""]",desktop,281,0.52313167259786475,0.59074733096085408,0.11387900355871886
"[""000webhost"",""Cloudflare""]",mobile,558,0.51254480286738346,0.482078853046595,0.11827956989247312
"[""AWS CloudFront"",""Cloudflare"",""HubSpot""]",mobile,134,0.5074626865671642,0.582089552238806,0.22388059701492538
"[""Akamai"",""Azure""]",desktop,313,0.50479233226837061,0.61980830670926512,0.20447284345047922
"[""Akamai"",""Cloudflare"",""HubSpot""]",desktop,111,0.50450450450450446,0.56756756756756754,0.14414414414414414
"[""WP-Cloud""]",mobile,713,0.49929873772791022,0.38148667601683028,0.12903225806451613
"[""Akamai"",""Cloudflare"",""Shopify""]",desktop,247,0.49392712550607287,0.49797570850202427,0.064777327935222673
"[""Automattic"",""Cloudflare""]",mobile,2063,0.49054774600096945,0.47455162384876393,0.20164808531265146
"[""Cloudflare""]",mobile,1484391,0.485788447922414,0.46206491416345152,0.161169125924369
"[""Akamai"",""Cloudflare""]",mobile,4129,0.47759748123032209,0.602567207556309,0.12690724146282392
"[""Hostinger""]",desktop,71594,0.47016509763387992,0.42747995642092912,0.12339022823141604
"[""Azure""]",mobile,20996,0.46289769479900933,0.51090683939798054,0.17646218327300439
"[""AWS CloudFront"",""Cloudflare"",""OpenNext""]",desktop,212,0.45283018867924529,0.51886792452830188,0.15094339622641509
"[""Akamai"",""Netlify""]",desktop,118,0.44915254237288138,0.69491525423728817,0.1864406779661017
"[""Cloudflare"",""HubSpot"",""Shopify""]",desktop,136,0.4485294117647059,0.53676470588235292,0.17647058823529413
"[""WP-Cloud""]",desktop,286,0.44755244755244755,0.38811188811188813,0.17832167832167833
"[""Cloudflare"",""Vercel""]",mobile,11499,0.44603878598138968,0.578832941994956,0.21227932863727281
"[""000webhost""]",mobile,337,0.44510385756676557,0.4599406528189911,0.14540059347181009
"[""Cloudflare"",""Netlify""]",mobile,3305,0.43963691376701969,0.52102874432677759,0.19031770045385779
"[""Azure"",""Cloudflare""]",desktop,915,0.43934426229508194,0.53333333333333333,0.20546448087431693
"[""Cloudflare"",""Kinsta""]",desktop,21878,0.43692293628302403,0.4889386598409361,0.14402596215376176
"[""HubSpot""]",mobile,7337,0.43164781245740769,0.478942347008314,0.16887011039934577
"[""Cloudflare"",""HubSpot"",""WP Engine""]",mobile,225,0.43111111111111111,0.64888888888888885,0.18222222222222223
"[""Cloudflare"",""WP Engine""]",mobile,57188,0.42447716304119748,0.54207176330698748,0.12495628453521718
"[""AWS CloudFront"",""Akamai""]",mobile,1677,0.42098986285032797,0.67740011926058441,0.19081693500298152
"[""AWS CloudFront"",""Azure""]",mobile,157,0.42038216560509556,0.62420382165605093,0.15286624203821655
"[""Akamai""]",mobile,29077,0.40802008460295081,0.60480792378856141,0.2393644461258039
"[""Cloudflare"",""OpenNext""]",desktop,2397,0.39841468502294536,0.58656654151022114,0.18898623279098872
"[""Netlify""]",mobile,28958,0.39591822639685059,0.56364389805925819,0.11582291594723393
"[""AWS CloudFront"",""HubSpot""]",mobile,3927,0.38426279602750191,0.61115355233002289,0.060351413292589765
"[""Cloudflare"",""WP-Cloud""]",desktop,136,0.38235294117647056,0.38235294117647056,0.24264705882352941
"[""Cloudflare"",""Hostinger""]",desktop,15560,0.36703084832904886,0.51349614395886889,0.17673521850899743
"[""Shopify""]",desktop,2349,0.36526181353767562,0.47892720306513409,0.20093656875266069
"[""AWS CloudFront"",""OpenNext""]",mobile,2622,0.35430968726163237,0.63081617086193742,0.085049580472921438
"[""Akamai"",""Netlify""]",mobile,123,0.34959349593495936,0.63414634146341464,0.37398373983739835
"[""Akamai"",""Azure""]",mobile,333,0.34534534534534533,0.71171171171171166,0.36336336336336339
"[""Cloudflare"",""HubSpot"",""Shopify""]",mobile,142,0.34507042253521125,0.63380281690140849,0.23943661971830985
"[""WP Engine""]",mobile,10339,0.34403714092271981,0.582648225166844,0.14943418125544056
"[""Akamai"",""Cloudflare"",""HubSpot""]",mobile,108,0.33333333333333331,0.63888888888888884,0.33333333333333331
"[""Akamai"",""HubSpot""]",mobile,412,0.32524271844660196,0.662621359223301,0.26941747572815533
"[""Hostinger""]",mobile,242822,0.31889614614820733,0.53521921407450723,0.18322474899308958
"[""Shopify""]",mobile,3449,0.31284430269643376,0.59814438967816763,0.17425340678457524
"[""Akamai"",""Vercel""]",mobile,342,0.30994152046783624,0.80701754385964908,0.15204678362573099
"[""SiteGround""]",desktop,23867,0.30716051451795368,0.5452298152260443,0.176980768425022
"[""Azure"",""HubSpot""]",mobile,262,0.30534351145038169,0.5725190839694656,0.35496183206106868
"[""AWS CloudFront"",""Shopify""]",desktop,256,0.3046875,0.61328125,0.23828125
"[""Cloudflare"",""Kinsta""]",mobile,25411,0.29223564598008739,0.5807721065680217,0.23682657116996575
"[""Cloudflare"",""SiteGround""]",desktop,4449,0.28253540121375592,0.55293324342548889,0.2429759496516071
"[""AWS CloudFront"",""Cloudflare"",""OpenNext""]",mobile,254,0.27952755905511811,0.63779527559055116,0.24409448818897639
"[""Cloudflare"",""Hostinger""]",mobile,32224,0.27594339622641512,0.55958291956305861,0.25912363455809334
"[""HubSpot"",""Shopify""]",mobile,121,0.26446280991735538,0.53719008264462809,0.4049586776859504
"[""Cloudflare"",""OpenNext""]",mobile,3465,0.25714285714285712,0.638961038961039,0.30331890331890332
"[""Akamai"",""Automattic""]",desktop,144,0.25694444444444442,0.69444444444444442,0.2986111111111111
"[""HubSpot"",""Shopify""]",desktop,130,0.25384615384615383,0.50769230769230766,0.3923076923076923
"[""AWS CloudFront"",""Shopify""]",mobile,293,0.25255972696245732,0.60409556313993173,0.35153583617747441
"[""Cloudflare"",""SiteGround""]",mobile,6334,0.24865803599621092,0.5647300284180613,0.3231765077360278
"[""SiteGround""]",mobile,46447,0.2154283376751997,0.58557065041875689,0.24834757896096626
"[""Akamai"",""Automattic""]",mobile,141,0.19148936170212766,0.75886524822695034,0.41134751773049644
"[""Akamai"",""Cloudflare"",""Shopify""]",mobile,152,0.17105263157894737,0.76973684210526316,0.17105263157894737
"[""Flywheel""]",mobile,7202,0.14134962510413773,0.46223271313524023,0.42849208553179674
"[""Flywheel""]",desktop,6106,0.12888961677038979,0.48149361283982967,0.4009171306911235
"[""Cloudflare"",""Flywheel""]",mobile,1518,0.12384716732542819,0.42885375494071148,0.50197628458498023
"[""Cloudflare"",""Flywheel""]",desktop,1453,0.10323468685478321,0.4198210598761184,0.50516173434273914
"[""AWS CloudFront"",""Cloudflare"",""Shopify""]",desktop,146,0.0821917808219178,0.79452054794520544,0.16438356164383561
"[""AWS CloudFront"",""Cloudflare"",""Shopify""]",mobile,328,0.036585365853658534,0.823170731707317,0.1798780487804878
