platform,client,n,fast,avg,slow
"[""Cloudflare"",""Pantheon""]",desktop,2054,0.50486854917234669,0.36514118792599803,0.1299902629016553
"[""Pantheon""]",mobile,11560,0.50441176470588234,0.40328719723183393,0.092301038062283736
"[""HubSpot""]",desktop,6409,0.50335465751287256,0.3365579653612108,0.16008737712591667
"[""Cloudflare"",""WP Engine""]",desktop,65205,0.4980139559849705,0.419799095161414,0.082186948853615521
"[""Cloudflare"",""WP-Cloud""]",mobile,349,0.49283667621776506,0.36962750716332377,0.13753581661891118
"[""Akamai""]",desktop,30211,0.48637913342822153,0.4241501439872894,0.0894707225844891
"[""Akamai"",""Vercel""]",desktop,309,0.4854368932038835,0.47572815533980584,0.038834951456310676
"[""Akamai"",""Cloudflare""]",mobile,5229,0.47580799388028305,0.4629948364888124,0.061197169630904567
"[""WP-Cloud""]",mobile,751,0.474034620505992,0.39946737683089212,0.12649800266311584
"[""000webhost"",""Cloudflare""]",mobile,624,0.46314102564102566,0.44070512820512819,0.096153846153846159
"[""AWS CloudFront"",""Akamai""]",desktop,1408,0.45951704545454547,0.47088068181818182,0.069602272727272721
"[""Acquia"",""Cloudflare""]",mobile,3216,0.45802238805970147,0.47667910447761191,0.065298507462686561
"[""Fly.io""]",mobile,1307,0.45524100994644223,0.4429992348890589,0.10175975516449885
"[""AWS CloudFront"",""Vercel""]",mobile,363,0.45454545454545453,0.4903581267217631,0.055096418732782371
"[""Automattic"",""Cloudflare""]",desktop,1951,0.451050743208611,0.38339313172731931,0.16555612506406972
"[""WP Engine""]",desktop,12437,0.44037951274423093,0.48781860577309638,0.071801881482672664
"[""Cloudflare""]",mobile,1666668,0.4303610557111554,0.43760484991612009,0.13203409437272451
"[""Cloudflare"",""Fly.io""]",mobile,674,0.42878338278931749,0.48071216617210683,0.09050445103857567
"[""WP-Cloud""]",desktop,352,0.42045454545454547,0.39772727272727271,0.18181818181818182
"[""Cloudflare"",""Pantheon""]",mobile,1939,0.41877256317689532,0.43785456420835484,0.14337287261474987
"[""Hostinger""]",desktop,91357,0.41106866468907693,0.46156287969175869,0.12736845561916438
"[""000webhost""]",mobile,359,0.40947075208913647,0.47353760445682452,0.116991643454039
"[""Akamai"",""HubSpot""]",desktop,473,0.40803382663847781,0.507399577167019,0.084566596194503171
"[""Acquia""]",mobile,3402,0.39594356261022928,0.48912404467960025,0.11493239271017049
"[""Azure""]",mobile,22564,0.39421201914554155,0.47659989363588018,0.12918808721857827
"[""Akamai"",""Cloudflare"",""HubSpot""]",desktop,135,0.38518518518518519,0.48888888888888887,0.12592592592592591
"[""Automattic"",""Cloudflare""]",mobile,2327,0.38461538461538464,0.45810055865921789,0.1572840567253975
"[""Azure"",""HubSpot""]",desktop,290,0.37931034482758619,0.47931034482758622,0.14137931034482759
"[""AWS CloudFront"",""Cloudflare"",""OpenNext""]",desktop,227,0.3788546255506608,0.51982378854625555,0.1013215859030837
"[""HubSpot""]",mobile,7963,0.37686801456737412,0.47657917870149441,0.1465528067311315
"[""Akamai"",""Cloudflare"",""Shopify""]",desktop,320,0.375,0.5875,0.0375
"[""Cloudflare"",""HubSpot"",""Shopify""]",desktop,152,0.36184210526315791,0.46052631578947367,0.17763157894736842
"[""Azure"",""Cloudflare""]",desktop,983,0.35910478128179046,0.474059003051882,0.16683621566632756
"[""Akamai"",""Azure""]",desktop,335,0.35820895522388058,0.55820895522388059,0.083582089552238809
"[""Akamai"",""Netlify""]",desktop,141,0.3546099290780142,0.56028368794326244,0.0851063829787234
"[""AWS CloudFront"",""HubSpot""]",mobile,4085,0.35055079559363528,0.603671970624235,0.045777233782129743
"[""AWS CloudFront"",""Cloudflare"",""HubSpot""]",mobile,147,0.34693877551020408,0.54421768707483,0.10884353741496598
"[""AWS CloudFront"",""Azure""]",mobile,162,0.345679012345679,0.56172839506172845,0.092592592592592587
"[""Shopify""]",desktop,2734,0.34089246525237749,0.47403072421360642,0.18507681053401609
"[""Cloudflare"",""Netlify""]",mobile,3952,0.33805668016194335,0.5247975708502024,0.13714574898785425
"[""Netlify""]",mobile,33676,0.33543176149186366,0.56788217127924934,0.096686067228887035
"[""Cloudflare"",""Vercel""]",mobile,14472,0.33450801547816472,0.53019624101713658,0.13529574350469872
"[""AWS CloudFront"",""Akamai""]",mobile,1726,0.33140208574739283,0.57937427578215528,0.089223638470451908
"[""Cloudflare"",""WP-Cloud""]",desktop,160,0.33125,0.45,0.21875
"[""Cloudflare"",""WP Engine""]",mobile,66152,0.32899987906639255,0.562220341032773,0.10877977990083444
"[""AWS CloudFront"",""OpenNext""]",mobile,2686,0.32799702159344751,0.61578555472822039,0.056217423678332094
"[""Akamai""]",mobile,30788,0.325646355723009,0.541119916850721,0.13323372742627
"[""AWS CloudFront"",""Netlify""]",mobile,127,0.32283464566929132,0.57480314960629919,0.10236220472440945
"[""Cloudflare"",""Kinsta""]",desktop,26849,0.31327051286826324,0.55201311035792766,0.13471637677380907
"[""Cloudflare"",""HubSpot"",""Kinsta""]",desktop,107,0.308411214953271,0.58878504672897192,0.102803738317757
"[""Hostinger""]",mobile,259462,0.2900077853404352,0.53606308438229877,0.17392913027726603
"[""Cloudflare"",""Hostinger""]",desktop,20031,0.28610653487095,0.53706754530477763,0.17682591982427237
"[""Shopify""]",mobile,3761,0.27359744748737036,0.57644243552246743,0.14996011699016218
"[""Akamai"",""Vercel""]",mobile,369,0.26829268292682928,0.69647696476964771,0.035230352303523033
"[""Cloudflare"",""HubSpot"",""WP Engine""]",mobile,275,0.25818181818181818,0.6,0.14181818181818182
"[""Cloudflare"",""HubSpot"",""Shopify""]",mobile,149,0.24832214765100671,0.60402684563758391,0.1476510067114094
"[""Cloudflare"",""OpenNext""]",desktop,3532,0.2434881087202718,0.56710079275198189,0.18941109852774632
"[""Acquia"",""Akamai""]",mobile,592,0.23986486486486486,0.668918918918919,0.091216216216216214
"[""AWS CloudFront"",""Shopify""]",desktop,281,0.23487544483985764,0.57651245551601427,0.18861209964412812
"[""HubSpot"",""Shopify""]",desktop,146,0.23287671232876711,0.4041095890410959,0.363013698630137
"[""WP Engine""]",mobile,12411,0.23156876963983564,0.59785673998871969,0.17057449037144468
"[""AWS CloudFront"",""Cloudflare"",""OpenNext""]",mobile,269,0.23048327137546468,0.58364312267657992,0.18587360594795538
"[""SiteGround""]",desktop,32867,0.22271579395746494,0.585663431405361,0.19162077463717406
"[""Cloudflare"",""Hostinger""]",mobile,35692,0.21968508349209906,0.54804998318951026,0.23226493331839068
"[""Cloudflare"",""Kinsta""]",mobile,29264,0.21299207217058502,0.55809185347184254,0.22891607435757244
"[""Akamai"",""Netlify""]",mobile,143,0.20979020979020979,0.60139860139860135,0.1888111888111888
"[""Akamai"",""Cloudflare"",""HubSpot""]",mobile,127,0.20472440944881889,0.58267716535433067,0.2125984251968504
"[""Azure"",""HubSpot""]",mobile,296,0.20270270270270271,0.53040540540540537,0.26689189189189189
"[""Akamai"",""HubSpot""]",mobile,455,0.2,0.64835164835164838,0.15164835164835164
"[""Akamai"",""Azure""]",mobile,350,0.19142857142857142,0.63714285714285712,0.17142857142857143
"[""Cloudflare"",""SiteGround""]",desktop,6048,0.18568121693121692,0.562334656084656,0.251984126984127
"[""Akamai"",""Automattic""]",desktop,160,0.175,0.64375,0.18125
"[""HubSpot"",""Shopify""]",mobile,137,0.16788321167883211,0.45255474452554745,0.37956204379562042
"[""SiteGround""]",mobile,53406,0.1654870239298955,0.57961652248810991,0.25489645358199453
"[""AWS CloudFront"",""Shopify""]",mobile,309,0.1650485436893204,0.56634304207119746,0.26860841423948217
"[""Cloudflare"",""SiteGround""]",mobile,7541,0.16151704018034743,0.53706404986076117,0.30141890995889137
"[""Cloudflare"",""OpenNext""]",mobile,4358,0.16131252868288207,0.57044515832950893,0.268242312987609
"[""Akamai"",""Automattic""]",mobile,155,0.14838709677419354,0.6,0.25161290322580643
"[""Cloudflare"",""HubSpot"",""Kinsta""]",mobile,100,0.13,0.58,0.29
"[""Akamai"",""Cloudflare"",""Shopify""]",mobile,215,0.11627906976744186,0.74883720930232556,0.13488372093023257
"[""Flywheel""]",mobile,8282,0.10794494083554697,0.40920067616517747,0.48285438299927552
"[""Flywheel""]",desktop,7533,0.089738484003716978,0.45108190627903888,0.45917960971724414
"[""Cloudflare"",""Flywheel""]",mobile,1746,0.089347079037800689,0.36483390607101945,0.54581901489117979
"[""Cloudflare"",""Flywheel""]",desktop,1709,0.069631363370392038,0.39321240491515508,0.53715623171445293
"[""AWS CloudFront"",""Cloudflare"",""Shopify""]",desktop,175,0.062857142857142861,0.8,0.13714285714285715
"[""AWS CloudFront"",""Cloudflare"",""Shopify""]",mobile,373,0.024128686327077747,0.8418230563002681,0.13404825737265416
